created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-05-27 23:20:11 UTC,232,322,19712,7168,512,512,512,918,,,,
2019-05-27 23:20:27 UTC,233,480,151,12,1,0,0,1122,,,,
2019-05-27 23:20:44 UTC,234,513,32000,29184,3328,256,0,420,,,,
2019-05-27 23:21:00 UTC,235,512,512,513,35072,31232,2560,1095,,,,
2019-05-27 23:21:16 UTC,236,390,121,18,2,0,0,1128,,,,
2019-05-27 23:21:31 UTC,237,471,142,15,1,0,0,1040,,,,
2019-05-27 23:21:47 UTC,238,429,128,14,2,1,0,1113,,,,
2019-05-27 23:22:02 UTC,239,330,107,10,1,1,0,1010,,,,
2019-05-27 23:22:18 UTC,240,393,124,16,0,0,0,1103,,,,
2019-05-27 23:22:34 UTC,241,399,123,14,1,0,0,1099,,,,
2019-05-27 23:22:50 UTC,242,420,134,20,2,0,0,1078,,,,
2019-05-27 23:23:06 UTC,243,420,131,25,1,0,0,403,,,,
2019-05-27 23:23:23 UTC,244,342,105,21,0,0,0,1079,,,,
2019-05-27 23:23:41 UTC,245,396,114,14,1,0,0,551,,,,
2019-05-27 23:23:57 UTC,246,7168,512,512,512,512,512,1092,,,,
2019-05-27 23:24:15 UTC,247,408,129,12,2,1,0,651,,,,
2019-05-27 23:24:30 UTC,248,480,154,18,3,2,0,1049,,,,
2019-05-27 23:24:46 UTC,249,429,135,11,2,2,0,1076,,,,
2019-05-27 23:25:01 UTC,250,378,118,8,1,1,0,1091,,,,
2019-05-27 23:25:17 UTC,251,423,134,23,0,0,0,584,,,,
2019-05-27 23:25:32 UTC,252,387,122,24,0,0,0,875,,,,
2019-05-27 23:25:48 UTC,253,366,117,14,0,0,0,1091,,,,
2019-05-27 23:26:06 UTC,254,369,114,7,1,0,0,1102,,,,
2019-05-27 23:26:22 UTC,255,405,120,14,1,0,0,202,,,,
2019-05-27 23:26:37 UTC,256,459,136,7,1,0,0,1085,,,,
2019-05-27 23:26:53 UTC,257,432,129,19,2,1,0,1118,,,,
2019-05-27 23:27:08 UTC,258,369,115,25,1,1,0,447,,,,
